Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Chupacabra Cantina [400 Bar],78701,8/17/2015,73,"400 E 6TH ST
AUSTIN, TX 78701
(30.267049, -97.739174)",10275443,Routine Inspection
Church's Fried Chicken #25,78702,5/4/2015,94,"1150 AIRPORT BLVD
AUSTIN, TX 78702
(30.273904, -97.698022)",2800193,Routine Inspection
Cherry Hollow Stop,78641,4/1/2015,96,"11508 CHERRY HOLLOW XING
LEANDER, TX 78641
(30.51881, -97.952395)",10029389,Routine Inspection
Chick-Fil-A,78753,4/20/2016,97,"12901 N IH 35 SVRD NB
AUSTIN, TX 78753
(30.41288, -97.67306)",2802498,Routine Inspection
"Chicken Bowl, The",78701,6/27/2014,96,"1610 LAVACA ST
AUSTIN, TX 78701
(30.278851, -97.741437)",2800905,Routine Inspection
Children's Courtyard,78731,7/16/2015,91,"4213 SPICEWOOD SPRINGS RD
AUSTIN, TX 78731
(30.371425, -97.757028)",2801652,Routine Inspection
Chuy's,78749,5/21/2015,90,"4301 W WILLIAM CANNON DR Bunit 146
AUSTIN, TX 78749
(30.221772, -97.838267)",10098616,Routine Inspection
Cheers Shot Bar,78701,10/23/2014,93,"416 E 6TH ST
AUSTIN, TX 78701
(30.266897, -97.738639)",2800745,Routine Inspection
Chinatown Restaurant,78731,6/29/2016,71,"3407 GREYSTONE DR
AUSTIN, TX 78731
(30.356842, -97.747275)",2800414,1st Follow Up to Routine of 50 - 69
Chu-Mikals,78702,3/18/2015,80,"3223 E 7TH ST
AUSTIN, TX 78702
(30.257883, -97.704536)",10086787,Routine Inspection
Cheddars Casual Cafe,78749,1/23/2017,97,"4301 W WILLIAM CANNON DR Bldg D
AUSTIN, TX 78749
(30.221772, -97.838267)",10113690,Routine Inspection
Central Donut,78729,9/13/2016,95,"8516 ANDERSON MILL RD Unit 105
AUSTIN, TX 78729
(30.456002, -97.767544)",10701704,Routine Inspection
Chucho's Mexican Restaurant,78660,12/8/2015,96,"1615 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.456012, -97.659202)",10013559,Routine Inspection
Chosun Galbi Korean BBQ & Grill,78752,1/27/2016,85,"713 E HUNTLAND DR
AUSTIN, TX 78752
(30.33012, -97.706316)",10664808,Routine Inspection
Circle K Store #2704683,78736,8/11/2015,100,"9920 W US 290 HWY
AUSTIN, TX 78736
(30.228103, -97.941753)",10758425,Routine Inspection
Casino El Camino,78701,1/26/2016,71,"517 E 6TH ST
AUSTIN, TX 78701
(30.266609, -97.737636)",2800956,Routine Inspection
Child Craft School,78705,12/28/2016,100,"800 W 30TH ST
AUSTIN, TX 78705
(30.298236, -97.745263)",11468467,Routine Inspection
Circle K Store #2704677,78744,7/21/2014,88,"1601 E ST ELMO RD
AUSTIN, TX 78744
(30.212628, -97.752516)",10758265,Routine Inspection
Challenger School Elementary,78717,8/4/2015,100,"15101 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.498941, -97.773053)",11192837,Routine Inspection
Chinatown Restaurant,78731,1/5/2017,70,"3407 GREYSTONE DR
AUSTIN, TX 78731
(30.356842, -97.747275)",2800414,Routine Inspection
"Chicken Bowl, The",78701,10/18/2016,80,"1610 LAVACA ST
AUSTIN, TX 78701
(30.278851, -97.741437)",2800905,Routine Inspection
"Chicken Bowl, The",78701,6/19/2015,77,"1610 LAVACA ST
AUSTIN, TX 78701
(30.278851, -97.741437)",2800905,Routine Inspection
Child Inc. - Rosewood Zaragosa,78702,10/21/2014,96,"2800 WEBBERVILLE RD
AUSTIN, TX 78702
(30.265025, -97.709754)",2800504,Routine Inspection
Casulo Cafe,78741,1/26/2017,95,"3017 S IH 35 SVRD NB
AUSTIN, TX 78741
(30.226448, -97.745068)",10308719,Routine Inspection
Chuggin Monkey,78701,3/13/2015,93,"219 E 6TH ST
AUSTIN, TX 78701
(30.26747, -97.740732)",2803142,Routine Inspection
Cheryl's and Angel's Place Assisted Living,78748,9/27/2016,99,"3123 SUNLAND DR
AUSTIN, TX 78748
(30.158469, -97.857984)",10655608,Routine Inspection
Child Inc. - Fountain Plaza,78751,5/19/2015,100,"825 E 53RD HALF ST
AUSTIN, TX 78751
(30.313763, -97.71447)",2800499,Routine Inspection
Central Texas Rehabilitation Hospital,78751,3/1/2016,83,"700 W 45TH ST
AUSTIN, TX 78751
(30.31172, -97.734534)",10755083,Routine Inspection
Child Inc.-Grant Child Development Center,78758,11/6/2014,100,"1701 KRAMER LN
AUSTIN, TX 78758
(30.385575, -97.703857)",10305089,Routine Inspection
Child's Day Child Development Center,78746,6/10/2015,100,"2525 WALLINGWOOD DR
AUSTIN, TX 78746
(30.26452, -97.78401)",10389065,Routine Inspection
Cedar Bend Child Development Center,78758,3/2/2015,100,"1808 CEDAR BEND DR
AUSTIN, TX 78758
(30.408689, -97.693832)",11190716,Routine Inspection
"Children's Courtyard, The",78759,11/7/2016,92,"12336 N MOPAC EXPY SB
AUSTIN, TX 78759
(30.417791, -97.705603)",2801724,Routine Inspection
Child Inc. - Fountain Plaza,78751,10/27/2016,97,"825 E 53RD HALF ST
AUSTIN, TX 78751
(30.313763, -97.71447)",2800499,Routine Inspection
Child's Day Child Development Center,78746,12/30/2014,100,"2525 WALLINGWOOD DR
AUSTIN, TX 78746
(30.26452, -97.78401)",10389065,Routine Inspection
Chuy's North Lamar,78758,4/4/2014,88,"10520 N LAMAR BLVD
AUSTIN, TX 78758
(30.374993, -97.690304)",10003981,Routine Inspection
Chef Robert Catering,78759,7/14/2016,100,"8134 MESA DR
AUSTIN, TX 78759
(30.373443, -97.756073)",11006553,Routine Inspection
China Cafe,78731,9/26/2016,82,"3901 SPICEWOOD SPRINGS RD EB Bldg B
AUSTIN, TX 78731
(30.36585, -97.751286)",2802508,Routine Inspection
"Child, Inc. - Ortega Preschool",78721,11/4/2016,98,"1135 GARLAND AVE
AUSTIN, TX 78721
(30.269917, -97.684962)",2801875,Routine Inspection
Central Market Cafe @ the Plaza,78731,8/21/2015,100,"7000 N MOPAC EXPY SB
AUSTIN, TX 78731
(30.353232, -97.748964)",10231497,Routine Inspection
Chipotle Mexican Grill,78741,2/2/2016,97,"1920 E RIVERSIDE DR Bunit 150
AUSTIN, TX 78741
(30.241939, -97.728297)",11249530,Routine Inspection
Cigna,78717,2/6/2017,100,"11200 LAKELINE BLVD
AUSTIN, TX 78717
(30.480071, -97.797532)",11367549,Routine Inspection
Casey's New Orleans Snowballs,78751,3/30/2016,100,"808 E 51ST ST
AUSTIN, TX 78751
(30.311953, -97.715012)",11220216,Routine Inspection
Chinatown Restaurant,78731,6/9/2014,76,"3407 GREYSTONE DR
AUSTIN, TX 78731
(30.356842, -97.747275)",2800414,1st Follow Up to Routine of 50 - 69
Chicken Express,78726,9/23/2014,100,"8300 N FM 620 RD Bldg H
AUSTIN, TX 78726
(30.4204, -97.84557)",10897806,Routine Inspection
Chupacabra Cantina [400 Bar],78701,7/30/2014,79,"400 E 6TH ST
AUSTIN, TX 78701
(30.267049, -97.739174)",10275443,Routine Inspection
Chief's BBQ & Grill,78745,12/21/2016,99,"7811 S 1ST ST Unit 104
AUSTIN, TX 78745
(30.183909, -97.79262)",2802324,Routine Inspection
Chi Chinese Buffet,78748,4/14/2016,84,"9900 S IH 35 SVRD SB
AUSTIN, TX 78748
(30.153976, -97.791688)",10165758,Routine Inspection
Cedar Creek Recovery,78745,1/13/2017,100,"7211 ALBERT RD
AUSTIN, TX 78745
(30.196748, -97.802656)",11332838,Routine Inspection
Chipotle Mexican Grill #56,78756,1/28/2015,100,"4400 N LAMAR BLVD Unit 101
AUSTIN, TX 78756
(30.312718, -97.738105)",10176813,Routine Inspection
Chicken Lollypop,78753,9/4/2014,78,"1005 E BRAKER LN
AUSTIN, TX 78753
(30.375201, -97.672168)",10874815,Routine Inspection
Chipotle Mexican Grill #874,78729,10/12/2016,89,"6301 W PARMER LN Bldg 2
AUSTIN, TX 78729
(30.445314, -97.743259)",10179774,Routine Inspection
Child Inc. - Fountain Plaza,78751,12/15/2014,100,"825 E 53RD HALF ST
AUSTIN, TX 78751
(30.313763, -97.71447)",2800499,Routine Inspection
China Express,78741,9/14/2016,80,"1913 E RIVERSIDE DR
AUSTIN, TX 78741
(30.241906, -97.728447)",11438973,Routine Inspection
Chen's Noodle House,78759,5/20/2015,71,"8650 SPICEWOOD SPRINGS RD Unit 127
AUSTIN, TX 78759
(30.433565, -97.771812)",10189519,Routine Inspection
Casa Vallarta Rest,78744,2/4/2016,88,"6002 BURLESON RD
AUSTIN, TX 78744
(30.20676, -97.719122)",11241808,Routine Inspection
Cele Service Station,78653,1/20/2016,97,"18726 CAMERON RD
PFLUGERVILLE, TX 78653
(30.440982, -97.522869)",2800682,Routine Inspection
Circle C Cafe & Catering,78739,4/15/2014,80,"5919 LA CROSSE AVE
AUSTIN, TX 78739
(30.193622, -97.884704)",2801819,Routine Inspection
Casa Marianella,78702,12/11/2014,82,"821 GUNTER ST
AUSTIN, TX 78702
(30.259972, -97.701142)",2801309,Routine Inspection
Challenger School Elementary,78717,2/5/2015,100,"15101 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.498941, -97.773053)",11192837,Routine Inspection
Casa Moreno,78744,7/15/2014,81,"4606 BURLESON RD
AUSTIN, TX 78744
(30.212824, -97.731828)",2802425,Routine Inspection
Chipotle Mexican Grill #973,78723,7/29/2016,91,"1201 BARBARA JORDAN BLVD Unit 1300
AUSTIN, TX 78723
(30.306339, -97.708537)",10176511,Routine Inspection
Cheers Shot Bar,78701,10/27/2016,80,"416 E 6TH ST
AUSTIN, TX 78701
(30.266897, -97.738639)",2800745,Routine Inspection
Childrens Network,78727,1/9/2015,92,"12223 CASSADY DR
AUSTIN, TX 78727
(30.420666, -97.718896)",2801656,Routine Inspection
Chicken Lollypop,78753,2/23/2015,89,"1005 E BRAKER LN
AUSTIN, TX 78753
(30.375201, -97.672168)",10874815,Routine Inspection
Church's Fried Chicken #713,78723,4/15/2015,85,"5339 CAMERON RD
AUSTIN, TX 78723
(30.311642, -97.7068)",2800226,Routine Inspection
Changos,78705,6/22/2014,68,"3023 GUADALUPE ST
AUSTIN, TX 78705
(30.297142, -97.741691)",2801137,Routine Inspection
Christen's Gourmet Pralines,78727,9/10/2014,100,"12117 PECAN ST
AUSTIN, TX 78727
(30.433488, -97.763409)",10440190,Routine Inspection
Central Donut,78758,2/3/2017,84,"1910 W BRAKER LN
AUSTIN, TX 78758
(30.391794, -97.706845)",10273521,Routine Inspection
Chipotle Mexican Grill #874,78729,10/23/2014,89,"6301 W PARMER LN Bldg 2
AUSTIN, TX 78729
(30.445314, -97.743259)",10179774,Routine Inspection
Circle A,"Hwy 290 E
Austin TX  78723",8/18/2015,90,"7107 HWY 290 E
TX Hwy 290 E Austin TX 78723
(30.32197, -97.682753)",2803780,Routine Inspection
"Children's Courtyard, The",78749,5/12/2014,96,"5914 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.228636, -97.862055)",2801782,Routine Inspection
China Kitchen,78723,4/8/2014,79,"7112 ED BLUESTEIN BLVD SB Unit 180
AUSTIN, TX 78723
(30.312799, -97.662825)",2800893,Routine Inspection
CiCi's Pizza,78745,12/22/2016,91,"1901 W WILLIAM CANNON DR Unit 107
AUSTIN, TX 78745
(30.202651, -97.805566)",10507223,Routine Inspection
Child Inc. - Rosewood Zaragosa,78702,11/28/2016,94,"2800 WEBBERVILLE RD
AUSTIN, TX 78702
(30.265025, -97.709754)",2800504,Routine Inspection
Chipotle Mexican Grill #92,78705,7/29/2015,91,"2230 GUADALUPE ST
AUSTIN, TX 78705
(30.285654, -97.741793)",10176471,Routine Inspection
Casulo Cafe,78741,2/3/2016,86,"3017 S IH 35 SVRD NB
AUSTIN, TX 78741
(30.226448, -97.745068)",10308719,Routine Inspection
Circle C Cafe & Catering,78739,9/30/2014,87,"5919 LA CROSSE AVE
AUSTIN, TX 78739
(30.193622, -97.884704)",2801819,Routine Inspection
Child Inc. - Fountain Plaza,78751,6/26/2014,100,"825 E 53RD HALF ST
AUSTIN, TX 78751
(30.313763, -97.71447)",2800499,Routine Inspection
Chupacabra Cantina [400 Bar],78701,2/2/2015,87,"400 E 6TH ST
AUSTIN, TX 78701
(30.267049, -97.739174)",10275443,Routine Inspection
Central Market: Deli/Bakery/Produce,78745,9/4/2014,89,"4477 S LAMAR BLVD NB
AUSTIN, TX 78745
(30.232263, -97.798942)",2801488,Routine Inspection
Chipotle Mexican Grill #427,78717,1/27/2017,89,"11301 LAKELINE BLVD Unit 230
AUSTIN, TX 78717
(30.48006, -97.799141)",10176919,Routine Inspection
Chick Fil A,78758,9/23/2015,97,"12501 N MOPAC EXPY NB
AUSTIN, TX 78758
(30.419232, -97.703865)",2803108,Routine Inspection
Child Inc.-Grant Child Development Center,78758,2/15/2017,98,"1701 KRAMER LN
AUSTIN, TX 78758
(30.385575, -97.703857)",10305089,Routine Inspection
Chili's Grill and Bar,78752,1/26/2016,94,"6619 N IH 35 SVRD NB
AUSTIN, TX 78752
(30.327711, -97.705493)",10007391,Routine Inspection
Casulo Cafe,78741,1/5/2015,97,"3017 S IH 35 SVRD NB
AUSTIN, TX 78741
(30.226448, -97.745068)",10308719,Routine Inspection
Cele Service Station,78653,2/11/2015,94,"18726 CAMERON RD
PFLUGERVILLE, TX 78653
(30.440982, -97.522869)",2800682,Routine Inspection
Central Market Cafe @ the Plaza,78731,8/4/2016,99,"7000 N MOPAC EXPY SB
AUSTIN, TX 78731
(30.353232, -97.748964)",10231497,Routine Inspection
Chipotle Mexican Grill,78757,3/14/2016,89,"2700 W ANDERSON LN Bunit 204
AUSTIN, TX 78757
(30.358106, -97.735077)",10357765,Routine Inspection
Chef ATX,78734,10/23/2015,100,"4506 WELETKA DR Unit 200
AUSTIN, TX 78734
(30.40607, -97.926061)",11329340,Routine Inspection
Cheddars Casual Cafe,78749,5/21/2015,97,"4301 W WILLIAM CANNON DR Bldg D
AUSTIN, TX 78749
(30.221772, -97.838267)",10113690,Routine Inspection
Child Development Center,78756,5/4/2016,100,"3901 SHOAL CREEK BLVD
AUSTIN, TX 78756
(30.307993, -97.747862)",10219601,Routine Inspection
Casino El Camino,78701,8/12/2015,85,"517 E 6TH ST
AUSTIN, TX 78701
(30.266609, -97.737636)",2800956,Routine Inspection
Church's Chicken,78744,1/12/2017,92,"5309 NUCKOLS CROSSING RD
AUSTIN, TX 78744
(30.192551, -97.739294)",10000709,Routine Inspection
Chez-Nous,78701,10/4/2016,81,"510 NECHES ST
AUSTIN, TX 78701
(30.266428, -97.738399)",2800154,Routine Inspection
Chipotle Mexican Grill,78757,9/2/2014,95,"2700 W ANDERSON LN Bunit 204
AUSTIN, TX 78757
(30.358106, -97.735077)",10357765,Routine Inspection
Chez Zee,78731,1/23/2017,96,"5406 BALCONES DR
AUSTIN, TX 78731
(30.33645, -97.757783)",2800022,Routine Inspection
Chang Thai Thai Cuisine,78753,9/22/2014,81,"13000 N IH 35 SVRD SB Unit 200
AUSTIN, TX 78753
(30.413439, -97.673972)",10880438,Routine Inspection
Chilantro,78723,2/17/2016,78,"2039 AIRPORT BLVD Unit A
AUSTIN, TX 78723
(30.284441, -97.705204)",11180044,Routine Inspection
Chili's,78753,12/1/2014,92,"12901 N IH 35 SVRD NB
AUSTIN, TX 78753
(30.41288, -97.67306)",2801922,Routine Inspection
Changos,78705,12/15/2015,92,"3023 GUADALUPE ST
AUSTIN, TX 78705
(30.297142, -97.741691)",2801137,Routine Inspection
China Hill,78745,6/26/2014,61,"2800 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.208233, -97.818058)",10718791,Routine Inspection
Casa Vallarta Rest,78744,9/22/2016,84,"6002 BURLESON RD
AUSTIN, TX 78744
(30.20676, -97.719122)",11241808,Routine Inspection
Chili's Grill & Bar,78756,6/1/2015,100,"4420 N LAMAR BLVD
AUSTIN, TX 78756
(30.313146, -97.737809)",2801453,Routine Inspection
Cilantro's Mexican Restaurant,78745,5/14/2015,87,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210579, -97.786929)",10019057,Routine Inspection
Catfish Parlour,78759,7/2/2014,93,"11910 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.424509, -97.750584)",2800102,Routine Inspection
Chinmaya Mission Austin,78727,9/2/2015,90,"12825 BURNET RD
AUSTIN, TX 78727
(30.425136, -97.702085)",11123661,Routine Inspection
Carver Museum/Library,78702,9/3/2015,97,"1165 ANGELINA ST
AUSTIN, TX 78702
(30.270157, -97.724565)",2802040,Routine Inspection
Casa Moreno,78744,6/20/2016,57,"4606 BURLESON RD
AUSTIN, TX 78744
(30.212824, -97.731828)",2802425,Routine Inspection
Cedar Door,78701,10/13/2016,86,"201 BRAZOS ST
AUSTIN, TX 78701
(30.264286, -97.742741)",2802060,Routine Inspection
Chuy's 183,78759,1/6/2017,90,"11680 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.418101, -97.747107)",10003985,Routine Inspection
Chipotle Mexican Grill #973,78723,6/4/2014,79,"1201 BARBARA JORDAN BLVD Unit 1300
AUSTIN, TX 78723
(30.306339, -97.708537)",10176511,Routine Inspection
Chief's BBQ & Grill,78745,6/16/2015,79,"7811 S 1ST ST Unit 104
AUSTIN, TX 78745
(30.183909, -97.79262)",2802324,Routine Inspection
Casa Jaliscienses,78753,11/29/2016,80,"8214 N IH 35 SVRD SB
AUSTIN, TX 78753
(30.345041, -97.696768)",11502857,Routine Inspection
Chago's,78752,5/28/2014,96,"7301 N LAMAR BLVD
AUSTIN, TX 78752
(30.340465, -97.717201)",10575014,Routine Inspection
Circle K Store #2704684,78735,5/30/2014,80,"6412 W US 290 HWY
AUSTIN, TX 78735
(30.234671, -97.862583)",10759314,Routine Inspection
Casis Elementary,78703,3/23/2015,100,"2710 EXPOSITION BLVD
AUSTIN, TX 78703
(30.303356, -97.76435)",2800590,Routine Inspection
Chipotle Mexican Grill #874,78729,4/17/2014,100,"6301 W PARMER LN Bldg 2
AUSTIN, TX 78729
(30.445314, -97.743259)",10179774,Routine Inspection
Cedar Food Mart,78744,5/13/2014,82,"729 E SLAUGHTER LN
AUSTIN, TX 78744
(30.160494, -97.776951)",10806090,Routine Inspection
Casey Elementary,78748,10/21/2015,100,"9400 TEXAS OAKS DR
AUSTIN, TX 78748
(30.174941, -97.814415)",2801070,Routine Inspection
Chuck E. Cheese's #951,78744,2/27/2015,93,"9811 S IH 35 SVRD NB
AUSTIN, TX 78744
(30.157823, -97.789769)",10933665,Routine Inspection
Chucho's Mexican Restaurant,78660,12/22/2016,94,"1615 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.456012, -97.659202)",10013559,Routine Inspection
Charley's Grilled Sub @ Barton Creek,78746,12/15/2016,94,"2901 S CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.254658, -97.809462)",10347304,Routine Inspection
China Kitchen,78723,1/5/2016,85,"7112 ED BLUESTEIN BLVD SB Unit 180
AUSTIN, TX 78723
(30.312799, -97.662825)",2800893,Routine Inspection
Circle K Store #2704686,78729,10/5/2016,81,"6107 W PARMER LN
AUSTIN, TX 78729
(30.444199, -97.742704)",10758026,Routine Inspection
Circle K Store #2704687,78748,3/30/2016,93,"606 W SLAUGHTER LN
AUSTIN, TX 78748
(30.172734, -97.799714)",10762019,Routine Inspection
"Children's Courtyard, The",78749,11/6/2014,100,"5914 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.228636, -97.862055)",2801782,Routine Inspection
"Children's Courtyard, The",78758,8/27/2015,96,"11718 METRIC BLVD Bldg A
AUSTIN, TX 78758
(30.397982, -97.704714)",2802515,Routine Inspection
Chi Omega,78705,4/25/2016,92,"2711 RIO GRANDE ST
AUSTIN, TX 78705
(30.292964, -97.744193)",2800061,Routine Inspection
Church's Chicken,78744,10/21/2015,87,"5309 NUCKOLS CROSSING RD
AUSTIN, TX 78744
(30.192551, -97.739294)",10000709,Routine Inspection
Chuck E. Cheese's 586,78758,2/13/2015,90,"10515 N MOPAC EXPY NB
AUSTIN, TX 78758
(30.39131, -97.733317)",10003944,Routine Inspection
China Hill,78745,11/28/2016,88,"2800 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.208233, -97.818058)",10718791,Routine Inspection
Child Inc-- Forbes,78754,6/16/2014,100,"2217 FORBES DR
AUSTIN, TX 78754
(30.334427, -97.672963)",2801851,Routine Inspection
Cho Sushi,78732,5/28/2015,83,"4300 N QUINLAN PARK RD Unit 105
AUSTIN, TX 78732
(30.382188, -97.884108)",10357554,Routine Inspection
Carver Museum/Library,78702,10/31/2014,97,"1165 ANGELINA ST
AUSTIN, TX 78702
(30.270157, -97.724565)",2802040,Routine Inspection
Casis Elementary,78703,10/29/2014,100,"2710 EXPOSITION BLVD
AUSTIN, TX 78703
(30.303356, -97.76435)",2800590,Routine Inspection
Central Market Cafe @ the Plaza,78731,10/17/2014,100,"7000 N MOPAC EXPY SB
AUSTIN, TX 78731
(30.353232, -97.748964)",10231497,Routine Inspection
CiCi's Pizza #71,78723,6/10/2014,97,"5365 N IH 35 SVRD NB
AUSTIN, TX 78723
(30.312963, -97.708189)",10786483,Routine Inspection
Casa de Luz,78704,2/22/2016,87,"1701 TOOMEY RD
AUSTIN, TX 78704
(30.264812, -97.761447)",2800313,Routine Inspection
Child Inc.-Grant Child Development Center,78758,10/5/2015,100,"1701 KRAMER LN
AUSTIN, TX 78758
(30.385575, -97.703857)",10305089,Routine Inspection
